endTime,artistName,trackName,msPlayed
2020-07-17 05:49,Coast Modern,Groovy,4156
2020-07-17 05:49,Coast Modern,Hollow Life,3262
2020-07-17 05:51,Coast Modern,Honeybee,15894
2020-07-17 05:51,JAWNY,Honeypie,5294
2020-07-17 05:51,JAWNY,Honeypie,998
2020-07-17 05:51,Parcels,Tieduprightnow,1718
2020-07-17 05:51,Jungle,Casio,1915
2020-07-17 05:51,Mark Ronson,Daffodils (feat. Kevin Parker),1520
2020-07-17 05:51,of Montreal,Gronlandic Edit,1230
2020-07-17 05:52,levitation room,Warmth of the Sun,7813
2020-07-17 05:52,Grimes,Realiti,12318
2020-07-17 05:53,LSD and the Search for God,Starting Over,33471
2020-07-17 05:53,The Shins,Caring Is Creepy,3506
2020-07-17 05:53,Sir Sly,High,59570
2020-07-17 05:54,Blood Orange,Best to You,5746
2020-07-17 05:54,JAWNY,Honeypie,3645
2020-07-17 05:54,Benny Sings,Passionfruit,23800
2020-07-17 05:55,Jon Gomm,Passionflower,44187
2020-07-17 05:55,Temples,Certainty,4655
2020-07-17 05:55,Last Dinosaurs,Zoom,18448
2020-07-17 05:57,Temples,Certainty,129079
2020-07-17 06:00,of Montreal,Gronlandic Edit,182056
2020-07-17 06:02,JAWNY,Honeypie,92577
2020-07-17 06:03,JAWNY,Honeypie,102608
2020-07-17 06:03,Circa Survive,The Difference Between Medicine And Poison Is In The Dose,2821
2020-07-17 06:03,Circa Survive,Get Out,2136
2020-07-17 06:03,Circa Survive,Lustration,1021
2020-07-17 06:05,Circa Survive,Act Appalled,73119
2020-07-17 06:07,Dead Letter Circus,One Step,144184
2020-07-17 06:08,Dead Letter Circus,Cage,63657
2020-07-17 06:09,The Mars Volta,Televators,9508
2020-07-17 06:09,Circa Survive,Living Together,51397
2020-07-17 06:11,The Mars Volta,The Widow,52628
2020-07-17 06:12,Animals As Leaders,Soraya,15278
2020-07-17 06:12,Animals As Leaders,Behaving Badly,10205
2020-07-17 06:12,Circa Survive,Act Appalled,66083
2020-07-17 06:13,Monuments,A.W.O.L,18134
2020-07-17 06:13,Mew,Comforting Sounds,2333
2020-07-17 06:13,Mew,Am I Wry? No,32682
2020-07-17 06:13,Animals As Leaders,Tempting Time,26679
2020-07-17 06:16,The Floor Is Made Of Lava,Lost in the Woods,4202
2020-07-17 06:16,Mew,Introducing Palace Players,147377
2020-07-17 06:16,The Raveonettes,Recharge & Revolt,14303
2020-07-17 06:16,The Raveonettes,I Wanna Be Adored,5398
2020-07-17 06:16,The Floor Is Made Of Lava,All Outta Love - Remastered,2414
2020-07-17 06:16,The Raveonettes,Love In a Trashcan,2600
2020-07-17 06:17,The Floor Is Made Of Lava,Do Your Sister,42016
2020-07-17 06:17,Blaue Blume,Macabre,5224
2020-07-17 06:17,Blaue Blume,Sky,6455
2020-07-17 06:17,Blaue Blume,Lovable - Trentemøller Remix,3134
2020-07-17 06:18,Moi Caprice,Astropastoral,10298
2020-07-17 06:18,Tim Christensen,Love Is a Matter Of...,8335
2020-07-17 06:18,Tim Christensen,Right Next to the Right One,5445
2020-07-17 06:18,Moi Caprice,To The Lighthouse,8277
2020-07-17 06:19,Dizzy Mizz Lizzy,Silverflame - 2010 Digital Remaster,46161
2020-07-17 06:19,Mew,Comforting Sounds,5746
2020-07-17 06:19,Mew,Special,1033
2020-07-17 06:21,Mew,Special,108959
2020-07-17 06:24,Mew,Am I Wry? No,216630
2020-07-17 06:25,levitation room,Warmth of the Sun,43235
2020-07-17 06:29,Voices From The Fuselage,T.E.E.S.O.E.,6234
2020-07-17 06:29,George Harrison,What Is Life - Remastered 2014,52035
2020-07-17 06:30,Voices From The Fuselage,Via,1602
2020-07-17 06:30,Voices From The Fuselage,T.E.E.S.O.E.,16846
2020-07-17 06:30,Voices From The Fuselage,The Wreckage,26505
2020-07-17 06:30,Voices From The Fuselage,The Wreckage,12236
2020-07-17 06:30,Voices From The Fuselage,Inner Child,13363
2020-07-17 06:30,Voices From The Fuselage,Ortus,5166
2020-07-17 06:31,Voices From The Fuselage,Via,13560
2020-07-17 06:32,Voices From The Fuselage,Oceans,79203
2020-07-17 06:34,Voices From The Fuselage,The Wreckage,97094
2020-07-17 06:36,Voices From The Fuselage,T.E.E.S.O.E.,72260
2020-07-17 06:38,Sithu Aye,Holograph,21095
2020-07-17 06:38,David Maxim Micic,Bilo Pt. I,122287
2020-07-17 06:39,The Mars Volta,Inertiatic Esp,1404
2020-07-17 06:39,Animals As Leaders,Cafo,1985
2020-07-17 06:39,Animals As Leaders,On Impulse,14918
2020-07-17 06:39,Dead Letter Circus,Cage,1590
2020-07-17 06:39,Temples,Shelter Song,1149
2020-07-17 06:39,The Mars Volta,The Widow,870
2020-07-17 06:39,The Mars Volta,Televators,615
2020-07-17 06:39,TesseracT,April,0
2020-07-17 06:39,TesseracT,"Acceptance - Concealing Fate, Pt. 1",0
2020-07-17 06:39,Temples,Certainty,8440
2020-07-17 06:39,Dead Letter Circus,One Step,1207
2020-07-17 06:39,Last Dinosaurs,Zoom,5003
2020-07-17 06:39,Circa Survive,Living Together,3065
2020-07-17 06:42,Mew,Am I Wry? No,116262
2020-07-17 06:44,Voices From The Fuselage,T.E.E.S.O.E.,133746
2020-07-17 06:48,Last Dinosaurs,Zoom,201479
2020-07-17 06:50,David Bowie,Aladdin Sane - 2013 Remaster,10089
2020-07-17 06:50,David Bowie,Starman - 2012 Remaster,118828
2020-07-17 06:50,David Bowie,Let's Dance - Demo,36408
2020-07-17 06:51,David Bowie,Five Years - 2012 Remaster,15754
2020-07-17 06:51,David Bowie,Rock 'n' Roll Suicide - 2012 Remaster,10727
2020-07-17 06:51,David Bowie,Ziggy Stardust - 2012 Remaster,10820
2020-07-17 06:51,David Bowie,Suffragette City - 2012 Remaster,5828
2020-07-17 06:52,David Bowie,Quicksand - 2015 Remaster,79203
2020-07-17 06:53,David Bowie,Magic Dance,5433
2020-07-17 06:53,David Bowie,Fame - 2016 Remaster,52233
2020-07-17 06:53,Trevor Jones,Into The Labyrinth,2565
2020-07-17 06:53,Trevor Jones,The Goblin Battle,2101
2020-07-17 06:55,New Order,Blue Monday - 2016 Remaster,1102
2020-07-17 06:55,The Velvet Underground,Pale Blue Eyes,23533
2020-07-17 06:55,David Bowie,As The World Falls Down,89361
2020-07-17 06:57,LCD Soundsystem,tonite - electric lady sessions,8904
2020-07-17 06:57,New Order,Blue Monday '88 - 2015 Remaster,120279
2020-07-17 06:58,LCD Soundsystem,tonite,36188
2020-07-17 06:58,TV On The Radio,Young Liars,12631
2020-07-17 06:58,TV On The Radio,Wolf Like Me,4260
2020-07-17 06:59,Metronomy,Walking In The Dark,2832
2020-07-17 06:59,LCD Soundsystem,tonite,27921
2020-07-17 06:59,Metronomy,Miracle Rooftop,4516
2020-07-17 06:59,Metronomy,The Bay,19226
2020-07-17 06:59,Metronomy,Upset My Girlfriend,4226
2020-07-17 07:00,Caribou,Home,2507
2020-07-17 07:00,Caribou,Never Come Back,2565
2020-07-17 07:00,Caribou,Bees,3006
2020-07-17 07:00,Metronomy,Ur Mixtape,27492
2020-07-17 07:01,Deerhunter,Desire Lines,4911
2020-07-17 07:01,Deerhunter,He Would Have Laughed,7604
2020-07-17 07:01,Spoon,Don't You Evah,33935
2020-07-17 07:01,Caribou,Odessa,32496
2020-07-17 07:02,Deerhunter,Agoraphobia,13200
2020-07-17 07:02,Yeasayer,Ecstatic Baby,35329
2020-07-17 07:02,Neon Indian,Polish Girl,9079
2020-07-17 07:02,Neon Indian,Deadbeat Summer,1799
2020-07-17 07:03,Neon Indian,Change Of Coast,17716
2020-07-17 07:03,Local Natives,Dark Days,44570
2020-07-17 07:03,Local Natives,When Am I Gonna Lose You,1474
2020-07-17 07:05,Discovery,Swing Tree,95352
2020-07-17 07:06,Grimes,Be A Body,33947
2020-07-17 07:06,FKA twigs,cellophane,12573
2020-07-17 07:06,Ty Dolla $ign,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",4295
2020-07-17 07:07,John Maus,Do Your Best,3924
2020-07-17 07:07,John Maus,Hey Moon,5131
2020-07-17 07:07,John Maus,Just Wait Til Next Year,9566
2020-07-17 07:07,Austra,Lose It,9694
2020-07-17 07:07,Austra,I Am Not Waiting,15766
2020-07-17 07:07,Tennis,Runner,47403
2020-07-17 07:11,Little Dragon,Where You Belong,3088
2020-07-17 07:11,Little Dragon,Feather,18901
2020-07-17 07:11,SBTRKT,Wildfire,5433
2020-07-17 07:11,John Maus,Bennington (2007),59826
2020-07-17 07:13,Little Dragon,Lover Chanting,120372
2020-07-17 07:15,Washed Out,It All Feels Right,31404
2020-07-17 07:15,Washed Out,Feel It All Around,71598
2020-07-17 07:15,Washed Out,Time to Walk Away,2972
2020-07-17 07:15,Washed Out,Too Late,4911
2020-07-17 07:16,Jai Paul,jasmine - demo,10657
2020-07-17 07:16,Jai Paul,Do You Love Her Now,2519
2020-07-17 07:16,Jai Paul,He,2856
2020-07-17 07:16,Hot Chip,Ready For The Floor,20027
2020-07-17 07:16,TOPS,Way to be Loved,13107
2020-07-17 07:16,POLIÇA,Steady,5549
2020-07-17 07:16,Hot Chip,Over And Over,14895
2020-07-17 07:17,Romare,All Night,14802
2020-07-17 07:17,POLIÇA,Driving,2414
2020-07-17 07:17,POLIÇA,Fake Like,3506
2020-07-17 07:17,Romare,Hey Now (When I Give You All My Lovin'),7383
2020-07-17 07:17,POLIÇA,Lay Your Cards Out,3262
2020-07-17 07:17,POLIÇA,Lime Habit,23452
2020-07-17 07:18,Romare,Honey,4690
2020-07-17 07:18,Romare,Down the Line (It Takes a Number),3610
2020-07-17 07:18,Romare,Je T’aime,4307
2020-07-17 07:18,Romare,Sunshine - Edit,13792
2020-07-17 07:19,NEIL FRANCES,Music Sounds Better With You,12817
2020-07-17 07:19,Romare,Motherless Child,2647
2020-07-17 07:19,NEIL FRANCES,Teardrops,7337
2020-07-17 07:19,Romare,Who Loves You?,43444
2020-07-17 07:19,Romare,The Drifter,12840
2020-07-17 07:19,Romare,Come Close To Me,6106
2020-07-17 07:20,NEIL FRANCES,Music Sounds Better With You,21397
2020-07-17 07:20,Nick Hakim,I Don't Know,1451
2020-07-17 07:20,NEIL FRANCES,Dumb Love,8986
2020-07-17 07:20,NEIL FRANCES,Games,7604
2020-07-17 07:20,Nick Hakim,Cuffed,6965
2020-07-17 07:20,Nick Hakim,Bet She Looks Like You,3262
2020-07-17 07:20,Nick Hakim,QADIR - Single Version,4075
2020-07-17 07:20,NEIL FRANCES,Tell Me,3227
2020-07-17 07:21,Nick Hakim,Roller Skates,20828
2020-07-17 07:21,Spooky Mansion,Glass Mood Ring,859
2020-07-17 07:21,HNNY,Nothing - Original Mix,24566
2020-07-17 07:21,HNNY,"Cheer Up, My Brother",3633
2020-07-17 07:21,HNNY,Sunday,3494
2020-07-17 07:21,Spooky Mansion,I'm the Moon,3912
2020-07-17 07:21,HNNY,Montara,2948
2020-07-17 07:22,Spooky Mansion,You're the Wave,2113
2020-07-17 07:22,Spooky Mansion,Glass Mood Ring,4597
2020-07-17 07:22,Four Tet,Two Thousand and Seventeen,2879
2020-07-17 07:22,Spooky Mansion,Disco Bitch,29303
2020-07-17 07:22,Four Tet,Daughter,2461
2020-07-17 07:22,Spooky Mansion,I'm the Moon,8928
2020-07-17 07:22,Four Tet,Lush,3123
2020-07-17 07:23,NEIL FRANCES,Music Sounds Better With You,2728
2020-07-17 07:23,Washed Out,It All Feels Right,6884
2020-07-17 07:23,Four Tet,Baby,37442
2020-07-17 07:23,Romare,All Night,10158
2020-07-17 07:24,JAWNY,Honeypie,27689
2020-07-17 07:24,Benny Sings,Passionfruit,8440
2020-07-17 07:24,Parcels,Tieduprightnow,1880
